"table","fieldName","description","dataType","units"
"bet_IDandpinning_pub","individualID","Domain-level unique identifier for an individual: NEON.MOD.D##.######","string",
"bet_IDandpinning_pub","specimenSource","Physical source from which individual was obtained","string",
"bet_IDandpinning_pub","taxonID","Species code, based on one or more sources","string",
"bet_IDandpinning_pub","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined.","string",
"bet_IDandpinning_pub","taxonRank","The lowest level taxonomic rank that can be determined for the individual or specimen.","string",
"bet_IDandpinning_pub","identificationQualifier","A standard term to express the determiner's doubts about the Identification","string",
"bet_IDandpinning_pub","scientificNameAuthorship","Name of the individual(s) who designated the scientific name of the organism","string",
"bet_IDandpinning_pub","morphospeciesID","Identifier for morphospecies","string",
"bet_IDandpinning_pub","identificationReferences","A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used.","string",
"bet_IDandpinning_pub","identifiedBy","An identifier for the technician who identified the specimen","string",
"bet_IDandpinning_pub","recordedBy","An identifier for the technician who recorded the data.","string",
"bet_IDandpinning_pub","remarks","Technician notes; free text comments accompanying the record.","string",
"bet_IDandpinning_pub","duplicateIndividualIDQF","Quality Flag for duplicate records at the individualID level","signed integer",
